m_regioes	dia	mes	mes_ext	hexdelay
Barra do Rio, Cordeiros, São João, São Judas	1	6	Jun.	50.520559210526315
Barra do Rio, Cordeiros, São João, São Judas	2	6	Jun.	45.05882352941177
Barra do Rio, Cordeiros, São João, São Judas	3	6	Jun.	39.0233918128655
Barra do Rio, Cordeiros, São João, São Judas	4	6	Jun.	39.976699029126216
Barra do Rio, Cordeiros, São João, São Judas	5	6	Jun.	39.142857142857146
Barra do Rio, Cordeiros, São João, São Judas	6	6	Jun.	44.506144393241165
Barra do Rio, Cordeiros, São João, São Judas	7	6	Jun.	40.53140437544107
Barra do Rio, Cordeiros, São João, São Judas	8	6	Jun.	40.23410696266397
Barra do Rio, Cordeiros, São João, São Judas	9	6	Jun.	37.35880149812734
Barra do Rio, Cordeiros, São João, São Judas	10	6	Jun.	42.40037712130735
Barra do Rio, Cordeiros, São João, São Judas	11	6	Jun.	39.949675324675326
Barra do Rio, Cordeiros, São João, São Judas	12	6	Jun.	38.22775800711744
Barra do Rio, Cordeiros, São João, São Judas	13	6	Jun.	42.51538461538462
Barra do Rio, Cordeiros, São João, São Judas	14	6	Jun.	43.04674610449129
Barra do Rio, Cordeiros, São João, São Judas	15	6	Jun.	37.687179487179485
Barra do Rio, Cordeiros, São João, São Judas	16	6	Jun.	38.19083969465649
Barra do Rio, Cordeiros, São João, São Judas	17	6	Jun.	41.87130600571973
Barra do Rio, Cordeiros, São João, São Judas	18	6	Jun.	37.220489977728285
Barra do Rio, Cordeiros, São João, São Judas	19	6	Jun.	34.252252252252255
Barra do Rio, Cordeiros, São João, São Judas	20	6	Jun.	37.03378378378378
Barra do Rio, Cordeiros, São João, São Judas	21	6	Jun.	40.02977412731006
Barra do Rio, Cordeiros, São João, São Judas	22	6	Jun.	37.18623853211009
Barra do Rio, Cordeiros, São João, São Judas	23	6	Jun.	37.6575
Barra do Rio, Cordeiros, São João, São Judas	24	6	Jun.	39.97802197802198
Barra do Rio, Cordeiros, São João, São Judas	25	6	Jun.	36.17604355716878
Barra do Rio, Cordeiros, São João, São Judas	26	6	Jun.	35.44565217391305
Barra do Rio, Cordeiros, São João, São Judas	27	6	Jun.	37.13164251207729
Barra do Rio, Cordeiros, São João, São Judas	28	6	Jun.	36.97560975609756
Barra do Rio, Cordeiros, São João, São Judas	29	6	Jun.	36.662760416666664
Barra do Rio, Cordeiros, São João, São Judas	30	6	Jun.	37.07026476578412
Barra do Rio, Cordeiros, São João, São Judas	1	7	Jul.	39.20795660036166
Barra do Rio, Cordeiros, São João, São Judas	2	7	Jul.	38.25139664804469
