nome	2021-05-01	2021-05-02	2021-05-03	2021-05-04	2021-05-05	2021-05-06	2021-05-07	2021-05-08	2021-05-09	2021-05-10	2021-05-11	2021-05-12	2021-05-13	2021-05-14	2021-05-15	2021-05-16	2021-05-17	2021-05-18	2021-05-19	2021-05-20	2021-05-21	2021-05-22	2021-05-23	2021-05-24	2021-05-25	2021-05-26	2021-05-27	2021-05-28	2021-05-29	2021-05-30	2021-05-31	2021-06-01	2021-06-02	2021-06-03	2021-06-04	2021-06-05	2021-06-06	2021-06-07	2021-06-08	2021-06-09	2021-06-10	2021-06-11	2021-06-12	2021-06-13	2021-06-14	2021-06-15	2021-06-16	2021-06-17	2021-06-18	2021-06-19	2021-06-20	2021-06-21	2021-06-22	2021-06-23	2021-06-24	2021-06-25	2021-06-26	2021-06-27	2021-06-28	2021-06-29	2021-06-30	2021-07-01	2021-07-02	2021-07-03	2021-07-04	2021-07-05	2021-07-06	2021-07-07	2021-07-08	2021-07-09	2021-07-10	2021-07-11	2021-07-12	2021-07-13	2021-07-14	2021-07-15	2021-07-16	2021-07-17	2021-07-18	2021-07-19	2021-07-20	2021-07-21	2021-07-22	2021-07-23	2021-07-24	2021-07-25	2021-07-26	2021-07-27	total
R. Dr. Reinaldo Schmithausen	3609	2227	8103	6437	12027	9702	14730	7810	3357	11307	10289	12136	11710	16016	6865	4732	13778	10079	9342	8054	12470	4587	2006	7889	6753	6700	6171	10709	4292	1346	8140	6587	9310	1216	9237	3429	2073	8852	10249	10113	13895	14567	8526	2714	9255	2165	11430	6504	6007	2100	790	7453	5761	9777	8760	7575	1444	1195	14412	9993	17744	12752	16544	6419	3278	9710	10475	9548	9281	10568	8913	3576	7899	8005	6706	9912	10917	4326	3237	12922	7716	8676	7272	9310	3878	4749	6929	10321.0	690024
R. Indaial	2500	1289	9003	10282	9439	16781	18580	10281	1050	11252	10451	10199	8477	9325	5065	2495	8356	9790	7525	11859	8910	6668	1320	8935	6943	7836	5678	7065	4605	830	7653	8475	8006	1794	8300	3638	1622	8314	11797	9452	11514	11052	8746	1346	8683	1906	8746	9234	11539	3721	1739	10913	8805	8835	10391	11900	4675	1578	9328	7949	13900	11738	13832	6233	1391	9603	10517	16808	9891	12106	7388	1056	6947	7677	7628	7821	10482	4306	1376	7382	10962	8499	7069	9707	5218	1104	6236	7959.0	671317
Av. Campos Novos	4551	3944	7048	6431	7771	7093	11487	6353	4841	9599	8494	7980	8368	6522	5813	2784	5808	6443	6397	8830	10671	6844	4954	7030	8182	8382	7291	8876	8596	5725	7950	8033	6932	6657	7587	8666	4767	8263	8721	8642	7334	6239	7008	3453	7120	4591	7893	6467	7355	5944	5187	8550	8426	7318	6458	6546	6322	3561	7468	5062	6900	6454	9100	8675	4010	6815	7845	7213	8549	8636	7139	2270	7915	6036	6079	8705	7618	4822	6052	6731	8037	7665	8071	7931	6936	6403	7706	7094.0	607941
Marg. da BR-101 S	0	0	5064	4595	3598	5829	26462	602	507	5417	7210	5150	6788	9994	1058	148	3243	6069	4203	6074	13044	250	204	1669	4287	3263	5539	9253	610	63	2315	3733	17697	128	3911	1935	0	4016	4302	5474	7546	21066	4530	0	3978	961	7809	2070	8405	1032	100	5124	3294	7747	4351	7796	494	71	3637	5303	4036	3735	4697	1384	0	9102	2954	4980	2506	13878	1848	234	5948	5990	4751	10044	8409	5260	77	3381	9225	7480	7527	9386	1600	0	6470	6219.0	413920
R. Alberto Werner	1333	1189	4220	3600	4016	3383	4326	3245	1264	4182	4439	3502	4120	3251	2452	1428	3629	3840	3679	3425	3936	3244	1272	3888	4772	4403	4016	3811	3954	2657	4339	4227	5617	1600	4368	3200	1751	5257	4600	5224	5023	5348	3758	2877	5660	4508	5371	5732	5719	6585	4604	4992	5778	5441	5648	5214	2788	1929	4811	4429	4140	5795	5553	3422	1913	5410	5681	5592	5252	6411	4438	949	5615	5488	5664	4508	4699	3823	3146	4664	4622	4300	5021	4916	3594	2037	4349	4460.0	357876
Av. Gov. Adolfo Konder	341	108	5326	4036	6159	7522	8441	3926	336	4176	7581	5823	5716	5507	1163	79	5738	5863	4073	5588	5743	462	374	5084	3573	4704	3206	4338	1740	0	7665	4899	4747	199	3482	2659	461	6436	5631	4662	4754	6848	5733	157	11953	426	12863	4307	4386	1287	281	8392	5107	1957	2747	4390	1498	497	4185	4706	4598	3846	5858	1314	371	5575	5145	5182	5616	3990	2481	677	3229	3709	3056	3396	3833	540	228	3191	4481	3736	4094	2442	524	982	5889	3349.0	332024
BR-101 S	55	198	1042	163	380	1091	18424	806	2536	1381	7389	269	3800	9604	0	120	195	647	928	1922	12930	119	178	806	291	441	279	5069	387	202	492	339	18273	600	6607	356	682	370	2050	839	2203	16217	2878	314	124	0	4375	859	534	199	74	700	567	3157	3936	5828	347	111	2258	309	401	1924	1642	226	59	231	1479	1321	6607	23614	2930	493	2300	4943	14443	9817	8240	4827	437	1082	2782	1818	25153	34411	1233	134	1046	5291.0	300843
R. Agílio Cunha	1279	1183	4961	2679	4000	4774	6961	5785	2721	2448	5379	4174	4610	5162	3775	1289	4591	5513	4031	3331	4238	3026	999	2394	2997	3431	3631	4821	4144	1711	3670	4775	4543	972	5487	4171	1247	6132	6536	5011	5345	4994	5652	1018	3929	1048	3250	3296	4729	2826	1606	5817	2588	2953	3928	3902	2783	1955	3479	4882	4085	2583	4346	3940	889	1167	2713	3648	2047	1919	1791	192	1685	958	1125	2505	1656	1542	487	1907	1326	1553	1161	2740	1606	1097	1397	1722.0	274627
R. Luiz Lopes Gonzaga	1354	1023	2958	1621	3399	4889	6599	3631	897	5071	4441	4843	3154	5064	1538	596	2869	3019	1678	2872	3134	1571	160	2315	2449	2713	3021	4157	2480	679	3242	3394	6097	1062	3881	2411	922	4995	5755	3516	4140	5018	5113	1651	5912	1516	4270	3388	3669	1001	111	5337	2886	3041	2953	3170	1872	393	3505	3459	4215	3539	5631	3074	1171	3534	3594	4646	3119	6114	3914	143	3064	3239	2995	3683	3731	4100	589	2996	3274	2893	3299	4883	2179	866	2651	2617.0	269011
R. Dr. Pedro Rangel	485	740	2077	4221	3806	5367	8575	8344	492	4643	4068	4503	3087	3771	1163	410	2353	774	1950	3164	2557	1798	719	3835	3583	3356	2548	2833	1382	403	3574	3536	3557	480	2969	1824	548	5472	4734	3220	4127	5261	2264	812	3024	268	4686	3606	3797	1602	469	4359	4296	4049	3985	4531	2325	1004	4099	3668	3562	3842	3075	1562	399	4968	4296	5114	7148	6670	2415	171	3366	5358	2877	3424	5732	1742	426	3381	3947	2570	3275	3942	1501	404	3350	3846.0	267670
