	street	hexdelay
0	Av. Campos Novos	12661
1	R. Dr. Reinaldo Schmithausen	12082
2	R. Indaial	12074
3	Av. Pref. Paulo Bauer	8871
4	R. Alberto Werner	8206
5	R. Luiz Lopes Gonzaga	7941
6	Av. Joca Brandão	6735
7	R. Profa. Erotides da Silva Fontes	5855
8	R. Dr. Pedro Rangel	4749
9	Av. Itaipava	4746
10	Av. Gov. Adolfo Konder	4208
11	R. Agílio Cunha	3902
12	Retorno	3651
13	R. Samuel Heusi	3338
14	R. Eugenio Pezzini	3072
15	R. Dep. Francisco Evaristo Canziani	3022
16	R. Aderbal Ramos da Silva	3005
17	R. Manoel Francisco Coelho	2899
18	Av. Ver. Abrahão João Francisco	2827
19	Av. Pres. Castelo Branco	2816
20	R. Eudoro Silveira	2731
21	R. Joinville	2488
22	R. Estefano José Vanolli	2469
23	R. Arq. Nilson Edson dos Santos	2441
24	R. José Pereira Liberato	2416
