filename,mean_speedKMH
2020-12-11-23,7
2020-12-12-0,13
2020-12-12-1,20
2020-12-12-2,16
2020-12-12-3,12
2020-12-12-4,29
2020-12-12-5,16
2020-12-12-6,8
2020-12-12-7,22
2020-12-12-8,15
2020-12-12-9,12
2020-12-12-10,16
2020-12-12-11,13
2020-12-12-12,19
2020-12-12-13,15
2020-12-12-14,14
2020-12-12-15,15
2020-12-12-16,14
2020-12-12-17,14
2020-12-12-18,16
2020-12-12-19,17
2020-12-12-20,14
2020-12-12-21,13
2020-12-12-22,14
2020-12-12-23,11
2020-12-13-0,10
2020-12-13-1,23
2020-12-13-2,9
2020-12-13-3,27
2020-12-13-4,16
2020-12-13-5,10
2020-12-13-6,13
2020-12-13-7,12
2020-12-13-8,17
2020-12-13-9,11
2020-12-13-10,15
2020-12-13-11,18
2020-12-13-12,14
2020-12-13-13,19
2020-12-13-14,14
2020-12-13-15,14
2020-12-13-16,12
2020-12-13-17,13
2020-12-13-18,13
2020-12-13-19,13
2020-12-13-20,13
2020-12-13-21,13
2020-12-13-22,10
2020-12-13-23,35
2020-12-14-0,12
2020-12-14-1,25
2020-12-14-2,14
2020-12-14-3,15
2020-12-14-4,8
2020-12-14-5,33
2020-12-14-6,22
2020-12-14-7,16
2020-12-14-8,20
2020-12-14-9,16
2020-12-14-10,20
2020-12-14-11,16
2020-12-14-12,13
2020-12-14-13,12
2020-12-14-14,20
2020-12-14-15,18
2020-12-14-16,21
2020-12-14-17,19
2020-12-14-18,15
2020-12-14-19,15
2020-12-14-20,15
2020-12-14-21,24
2020-12-14-22,12
2020-12-15-3,17
2020-12-15-4,17
2020-12-15-5,56
2020-12-15-6,46
2020-12-15-7,18
2020-12-15-8,12
2020-12-15-9,21
2020-12-15-10,17
2020-12-15-11,16
2020-12-15-12,22
2020-12-15-13,13
2020-12-15-14,14
2020-12-15-15,14
2020-12-15-16,19
2020-12-15-17,17
2020-12-15-18,16
2020-12-15-19,15
2020-12-15-20,18
2020-12-15-21,15
2020-12-15-22,16
2020-12-15-23,18
2020-12-16-0,9
2020-12-16-1,17
2020-12-16-2,14
2020-12-16-3,35
2020-12-16-4,41
2020-12-16-5,47
2020-12-16-6,35
2020-12-16-7,21
2020-12-16-8,13
2020-12-16-9,15
2020-12-16-10,22
2020-12-16-11,13
2020-12-16-12,12
2020-12-16-13,12
2020-12-16-14,19
2020-12-16-15,18
2020-12-16-16,14
2020-12-16-17,15
2020-12-16-18,17
2020-12-16-19,19
2020-12-16-20,13
2020-12-16-21,20
2020-12-16-22,13
2020-12-16-23,13
2020-12-17-0,14
2020-12-17-1,51
2020-12-17-2,48
2020-12-17-3,10
2020-12-17-4,56
2020-12-17-5,22
2020-12-17-6,33
2020-12-17-7,24
2020-12-17-8,15
2020-12-17-9,22
2020-12-17-10,15
2020-12-17-11,12
2020-12-17-12,12
2020-12-17-13,14
2020-12-17-14,20
2020-12-17-15,17
2020-12-17-16,16
2020-12-17-17,15
2020-12-17-18,14
2020-12-17-19,23
2020-12-17-20,16
2020-12-17-21,16
2020-12-17-22,16
2020-12-17-23,13
2020-12-18-0,12
2020-12-18-1,22
2020-12-18-2,9
2020-12-18-3,14
2020-12-18-4,14
2020-12-18-5,47
2020-12-18-6,42
2020-12-18-7,22
2020-12-18-8,12
2020-12-18-9,19
2020-12-18-10,17
2020-12-18-11,16
2020-12-18-12,22
2020-12-18-13,22
2020-12-18-14,13
2020-12-18-15,15
2020-12-18-16,14
2020-12-18-17,14
2020-12-18-18,17
2020-12-18-19,13
2020-12-18-20,17
2020-12-18-21,17
2020-12-18-22,14
2020-12-18-23,15
2020-12-19-0,12
2020-12-19-1,32
2020-12-19-2,13
2020-12-19-3,9
2020-12-19-4,13
2020-12-19-5,11
2020-12-19-6,11
2020-12-19-7,13
2020-12-19-8,17
2020-12-19-9,19
2020-12-19-10,16
2020-12-19-11,13
2020-12-19-12,18
2020-12-19-13,16
2020-12-19-14,18
2020-12-19-15,13
2020-12-19-16,16
2020-12-19-17,16
2020-12-19-18,21
2020-12-19-19,19
2020-12-19-20,13
2020-12-19-21,12
2020-12-19-22,11
2020-12-19-23,12
2020-12-20-0,13
2020-12-20-1,10
2020-12-20-2,14
2020-12-20-3,5
2020-12-20-4,12
2020-12-20-5,7
2020-12-20-6,12
2020-12-20-7,12
2020-12-20-8,12
2020-12-20-9,14
2020-12-20-10,13
2020-12-20-11,12
2020-12-20-12,14
2020-12-20-13,13
2020-12-20-14,12
2020-12-20-15,14
2020-12-20-16,13
2020-12-20-17,11
2020-12-20-18,12
2020-12-20-19,13
2020-12-20-20,14
2020-12-20-21,13
2020-12-20-22,14
2020-12-20-23,13
2020-12-21-0,9
2020-12-21-1,12
2020-12-21-2,14
2020-12-21-3,17
2020-12-21-5,12
2020-12-21-6,21
2020-12-21-7,13
2020-12-21-8,19
2020-12-21-9,11
2020-12-21-10,12
2020-12-21-11,11
2020-12-21-12,12
2020-12-21-13,12
2020-12-21-14,19
2020-12-21-15,12
2020-12-21-16,13
2020-12-21-17,16
2020-12-21-18,14
2020-12-21-19,18
2020-12-21-20,12
2020-12-21-21,14
2020-12-21-22,14
2020-12-21-23,13
2020-12-22-0,12
2020-12-22-1,14
2020-12-22-2,10
2020-12-22-4,17
2020-12-22-6,15
2020-12-22-7,20
2020-12-22-8,17
2020-12-22-9,14
2020-12-22-10,17
2020-12-22-11,21
2020-12-22-12,18
2020-12-22-13,19
2020-12-22-14,18
2020-12-22-15,17
2020-12-22-16,12
2020-12-22-17,14
2020-12-22-18,15
2020-12-22-19,18
2020-12-22-20,17
2020-12-22-21,15
2020-12-22-22,15
2020-12-22-23,18
2020-12-23-0,14
2020-12-23-1,11
2020-12-23-2,17
2020-12-23-3,4
2020-12-23-4,10
2020-12-23-5,12
2020-12-23-6,13
2020-12-23-7,19
2020-12-23-8,17
2020-12-23-9,17
2020-12-23-10,12
2020-12-23-11,12
2020-12-23-12,14
2020-12-23-13,17
2020-12-23-14,17
2020-12-23-15,15
2020-12-23-16,17
2020-12-23-17,15
2020-12-23-18,16
2020-12-23-19,11
2020-12-23-20,12
2020-12-23-21,12
2020-12-23-22,12
2020-12-23-23,12
2020-12-24-0,16
2020-12-24-1,13
2020-12-24-2,12
2020-12-24-3,8
2020-12-24-4,10
2020-12-24-5,11
2020-12-24-6,14
2020-12-24-7,23
2020-12-24-8,13
2020-12-24-9,11
2020-12-24-10,11
2020-12-24-11,11
2020-12-24-12,11
2020-12-24-13,12
2020-12-24-14,12
2020-12-24-15,12
2020-12-24-16,11
2020-12-24-17,11
2020-12-24-18,13
2020-12-24-19,12
2020-12-24-20,13
2020-12-24-21,19
2020-12-24-22,13
2020-12-24-23,13
2020-12-25-0,12
2020-12-25-1,30
2020-12-25-2,7
2020-12-25-3,13
2020-12-25-4,14
2020-12-25-5,20
2020-12-25-6,6
2020-12-25-7,16
2020-12-25-8,11
2020-12-25-9,13
2020-12-25-10,14
2020-12-25-11,13
2020-12-25-12,14
2020-12-25-13,14
2020-12-25-14,13
2020-12-25-15,13
2020-12-25-16,13
2020-12-25-17,12
2020-12-25-18,13
2020-12-25-19,17
2020-12-25-20,13
2020-12-25-21,13
2020-12-25-22,14
2020-12-25-23,11
2020-12-26-0,12
2020-12-26-1,9
2020-12-26-2,10
2020-12-26-3,12
2020-12-26-5,6
2020-12-26-6,10
2020-12-26-7,12
2020-12-26-8,14
2020-12-26-9,16
2020-12-26-10,21
2020-12-26-11,21
2020-12-26-12,17
2020-12-26-13,21
2020-12-26-14,22
2020-12-26-15,13
2020-12-26-16,12
2020-12-26-17,12
2020-12-26-18,14
2020-12-26-19,13
2020-12-26-20,14
2020-12-26-21,12
2020-12-26-22,14
2020-12-26-23,14
2020-12-27-0,14
2020-12-27-1,9
2020-12-27-2,19
2020-12-27-3,14
2020-12-27-4,12
2020-12-27-5,41
2020-12-27-6,14
2020-12-27-7,13
2020-12-27-8,14
2020-12-27-9,9
2020-12-27-10,32
2020-12-27-11,20
2020-12-27-12,20
2020-12-27-13,35
2020-12-27-14,25
2020-12-27-15,17
2020-12-27-16,13
2020-12-27-17,17
2020-12-27-18,16
2020-12-27-19,31
2020-12-27-20,29
2020-12-27-21,11
2020-12-27-22,11
2020-12-27-23,13
2020-12-28-0,9
2020-12-28-1,14
2020-12-28-2,47
2020-12-28-3,33
2020-12-28-4,11
2020-12-28-5,21
2020-12-28-6,14
2020-12-28-7,25
2020-12-28-8,16
2020-12-28-9,20
2020-12-28-10,19
2020-12-28-11,13
2020-12-28-12,15
2020-12-28-13,13
2020-12-28-14,14
2020-12-28-15,14
2020-12-28-16,13
2020-12-28-17,23
2020-12-28-18,17
2020-12-28-19,15
2020-12-28-20,24
2020-12-28-21,22
2020-12-28-22,38
2020-12-28-23,24
2020-12-29-23,10
2020-12-30-0,10
2020-12-30-1,12
2020-12-30-2,13
2020-12-30-3,39
2020-12-30-4,10
2020-12-30-5,16
2020-12-30-6,28
2020-12-30-7,12
2020-12-30-8,15
2020-12-30-9,16
2020-12-30-10,13
2020-12-30-11,13
2020-12-30-12,12
2020-12-30-13,14
2020-12-30-14,13
2020-12-30-15,15
2020-12-30-16,13
2020-12-30-17,17
2020-12-30-18,14
2020-12-30-19,14
2020-12-30-20,17
2020-12-30-21,18
2020-12-30-22,14
2020-12-30-23,12
2020-12-31-23,11
