x,y,speedKMH,hour
-48.6887,-26.9021,11.89,9
-48.6826,-26.9008,7.49,9
-48.683,-26.9006,7.49,9
-48.6852,-26.9011,7.49,9
-48.6848,-26.9009,7.49,9
-48.6839,-26.9005,7.49,9
-48.6839,-26.9009,7.49,9
-48.6843,-26.9007,7.49,9
-48.6835,-26.9008,7.49,9
-48.6823,-26.9056,11.36,9
-48.6819,-26.9055,11.36,9
-48.681,-26.9055,11.36,9
-48.6806,-26.9053,11.36,9
-48.6762,-26.9056,11.36,9
-48.6766,-26.9058,11.36,9
-48.6758,-26.9058,11.36,9
-48.6775,-26.9045,11.97,9
-48.6775,-26.9049,11.97,9
-48.6783,-26.9032,5.01,9
-48.6779,-26.903,5.01,9
-48.6792,-26.904,5.01,9
-48.6788,-26.9038,5.01,9
-48.6792,-26.9044,5.01,9
-48.6783,-26.9036,5.01,9
-48.689,-26.9088,11.7,9
-48.6894,-26.9085,11.7,9
-48.6899,-26.9096,9.04,9
-48.689,-26.9096,9.04,9
-48.6894,-26.9094,9.04,9
-48.6907,-26.9078,14.51,9
-48.6907,-26.9083,14.51,9
-48.692,-26.9088,11.7,9
-48.6912,-26.9089,11.7,9
-48.6916,-26.9086,11.7,9
-48.6916,-26.9095,9.04,9
-48.6925,-26.9086,11.7,9
-48.6903,-26.9089,11.7,9
-48.6907,-26.9087,11.9125,9
-48.6898,-26.9087,11.7,9
-48.6907,-26.9091,11.983333333333334,9
-48.6889,-26.9054,4.58,9
-48.6887,-26.914,5.56,9
-48.6908,-26.9108,11.983333333333334,9
-48.6908,-26.9112,11.983333333333334,9
-48.6921,-26.9096,9.04,9
-48.6908,-26.9099,11.983333333333334,9
-48.6912,-26.9097,9.04,9
-48.6903,-26.9097,9.04,9
-48.6908,-26.9095,11.2475,9
-48.6908,-26.9103,11.983333333333334,9
-48.6908,-26.9116,11.983333333333334,9
-48.6908,-26.912,11.983333333333334,9
-48.694,-26.9022,13.96,9
-48.6931,-26.9022,13.96,9
-48.6936,-26.902,13.96,9
-48.6909,-26.9022,11.89,9
-48.6914,-26.9024,11.89,9
-48.6905,-26.9024,11.89,9
-48.6896,-26.902,11.89,9
-48.6901,-26.9022,11.89,9
-48.6892,-26.9023,11.89,9
-48.6923,-26.9023,11.89,9
-48.6927,-26.9021,13.96,9
-48.6918,-26.9021,11.89,9
-48.6944,-26.902,13.96,9
-48.6976,-26.9049,12.88,9
-48.6976,-26.9057,12.88,9
-48.698,-26.9055,12.88,9
-48.6976,-26.9053,12.88,9
-48.6976,-26.9061,12.88,9
-48.6981,-26.9059,12.88,9
-48.698,-26.9051,12.88,9
-48.6906,-26.9053,4.58,9
-48.6897,-26.9054,4.58,9
-48.6893,-26.9052,4.58,9
-48.6902,-26.9056,4.58,9
-48.6776,-26.9087,15.86,9
-48.6776,-26.9082,15.86,9
-48.6776,-26.9091,13.0,9
-48.6776,-26.9095,13.0,9
-48.6777,-26.9099,13.0,9
-48.6814,-26.9057,11.36,9
-48.6776,-26.9074,11.97,9
-48.6776,-26.9078,11.97,9
-48.6793,-26.9056,11.36,9
-48.6784,-26.9057,11.36,9
-48.6788,-26.9054,11.36,9
-48.6797,-26.9046,5.01,9
