data,velmed
2023-01-01,15
2023-01-02,19
2023-01-03,19
2023-01-04,19
2023-01-05,19
2023-01-06,18
2023-01-07,17
2023-01-08,17
2023-01-09,18
2023-01-10,17
2023-01-11,18
2023-01-12,19
2023-01-13,20
2023-01-14,17
2023-01-15,18
2023-01-16,14
2023-01-17,19
2023-01-18,20
2023-01-19,18
2023-01-20,18
2023-01-21,14
2023-01-22,12
2023-01-23,17
2023-01-24,19
2023-01-25,18
2023-01-26,17
2023-01-27,18
2023-01-28,16
2023-01-29,17
2023-01-30,18
2023-01-31,18
2023-02-01,19
2023-02-02,18
2023-02-03,18
2023-02-04,14
2023-02-05,14
2023-02-06,17
2023-02-07,17
2023-02-08,20
2023-02-09,18
2023-02-10,17
2023-02-11,14
2023-02-12,14
2023-02-13,16
2023-02-14,18
2023-02-15,16
2023-02-16,16
2023-02-17,15
2023-02-18,14
2023-02-19,13
2023-02-20,22
2023-02-21,16
2023-02-22,16
2023-02-23,18
2023-02-24,14
2023-02-25,13
2023-02-26,17
2023-02-27,16
2023-02-28,16
2023-03-01,16
2023-03-02,18
2023-03-03,16
2023-03-04,19
2023-03-05,15
2023-03-06,15
2023-03-07,16
2023-03-08,16
2023-03-09,17
2023-03-10,17
2023-03-11,17
2023-03-12,21
2023-03-13,17
2023-03-14,16
2023-03-15,16
2023-03-16,17
2023-03-17,15
2023-03-18,14
2023-03-19,13
2023-03-20,15
2023-03-21,16
2023-03-22,14
2023-03-23,18
2023-03-24,14
2023-03-25,15
2023-03-26,16
2023-03-27,16
2023-03-28,13
2023-03-29,15
2023-03-30,16
2023-03-31,15
2023-04-01,13
2023-04-02,15
2023-04-03,14
2023-04-04,14
2023-04-05,17
2023-04-06,17
2023-04-07,19
2023-04-08,14
2023-04-09,15
2023-04-10,16
2023-04-11,16
2023-04-12,16
2023-04-13,17
2023-04-14,18
2023-04-15,12
2023-04-16,13
2023-04-17,18
2023-04-18,15
2023-04-19,17
2023-04-20,15
2023-04-21,14
2023-04-22,11
2023-04-23,16
2023-04-24,16
2023-04-25,16
2023-04-26,16
2023-04-27,17
2023-04-28,17
2023-04-29,17
2023-04-30,14
2023-05-01,21
2023-05-02,16
2023-05-03,15
2023-05-04,17
2023-05-05,15
2023-05-06,12
2023-05-07,14
2023-05-08,14
2023-05-09,15
2023-05-10,14
2023-05-11,15
2023-05-12,15
2023-05-13,12
2023-05-14,15
2023-05-15,16
2023-05-16,15
2023-05-17,14
2023-05-18,15
2023-05-19,16
2023-05-20,12
2023-05-21,13
2023-05-22,14
2023-05-23,16
2023-05-24,17
2023-05-25,15
2023-05-26,16
2023-05-27,12
2023-05-28,19
2023-05-29,15
2023-05-30,15
2023-05-31,16
2023-06-01,15
2023-06-02,16
2023-06-03,13
2023-06-04,16
2023-06-05,14
2023-06-06,15
2023-06-07,16
2023-06-08,16
2023-06-09,17
2023-06-10,14
2023-06-11,18
2023-06-12,16
2023-06-13,15
2023-06-14,15
2023-06-15,18
2023-06-16,15
2023-06-17,13
2023-06-18,15
2023-06-19,14
2023-06-20,16
2023-06-21,17
2023-06-22,17
2023-06-23,17
2023-06-24,13
2023-06-25,12
2023-06-26,16
2023-06-27,18
2023-06-28,17
2023-06-29,15
2023-06-30,17
2023-07-01,13
2023-07-02,16
2023-07-03,15
2023-07-04,18
2023-07-05,16
2023-07-06,15
2023-07-07,16
2023-07-08,14
2023-07-09,16
2023-07-10,18
2023-07-11,19
2023-07-12,17
2023-07-13,19
2023-07-14,16
2023-07-15,16
2023-07-16,16
2023-07-17,17
2023-07-18,19
2023-07-19,17
2023-07-20,20
2023-07-21,18
2023-07-22,16
2023-07-23,18
2023-07-24,31
2023-07-26,17
2023-07-27,17
2023-07-28,17
2023-07-29,14
2023-07-30,17
2023-07-31,15
2023-08-01,15
2023-08-02,15
2023-08-03,17
2023-08-04,16
2023-08-05,15
2023-08-06,15
2023-08-07,15
2023-08-08,16
2023-08-09,17
2023-08-10,16
2023-08-11,16
2023-08-12,15
2023-08-13,16
2023-08-14,15
2023-08-17,19
2023-08-18,15
2023-08-19,15
2023-08-20,18
2023-08-21,14
2023-08-23,17
2023-08-24,17
2023-08-25,17
2023-08-26,0
2023-08-27,14
2023-08-28,13
2023-09-02,13
2023-09-04,17
2023-09-05,14
2023-09-06,16
