filename,mean_speedKMH
2021-01-01-0,14
2021-01-01-1,13
2021-01-01-2,7
2021-01-01-3,12
2021-01-01-4,10
2021-01-01-5,9
2021-01-01-6,9
2021-01-01-7,11
2021-01-01-8,15
2021-01-01-9,12
2021-01-01-10,13
2021-01-01-11,15
2021-01-01-12,12
2021-01-01-13,12
2021-01-01-14,12
2021-01-01-15,15
2021-01-01-16,13
2021-01-01-17,15
2021-01-01-18,13
2021-01-01-19,13
2021-01-01-20,11
2021-01-01-21,12
2021-01-01-22,14
2021-01-01-23,13
2021-01-02-0,14
2021-01-02-1,13
2021-01-02-2,8
2021-01-02-3,21
2021-01-02-4,17
2021-01-02-5,8
2021-01-02-6,12
2021-01-02-8,25
2021-01-02-9,11
2021-01-02-10,14
2021-01-02-11,15
2021-01-02-12,14
2021-01-02-13,16
2021-01-02-14,17
2021-01-02-15,11
2021-01-02-16,13
2021-01-02-17,12
2021-01-02-18,13
2021-01-02-19,11
2021-01-02-20,12
2021-01-02-21,12
2021-01-02-22,14
2021-01-02-23,34
2021-01-05-0,15
2021-01-05-1,12
2021-01-05-2,6
2021-01-05-3,19
2021-01-05-4,13
2021-01-05-6,16
2021-01-05-7,26
2021-01-05-8,17
2021-01-05-9,16
2021-01-05-10,22
2021-01-05-11,19
2021-01-05-12,22
2021-01-05-13,21
2021-01-05-14,17
2021-01-05-15,19
2021-01-05-16,18
2021-01-05-17,17
2021-01-05-18,18
2021-01-05-19,20
2021-01-05-20,18
2021-01-05-21,21
2021-01-05-22,31
2021-01-05-23,14
2021-01-08-22,8
2021-01-08-23,4
2021-01-09-0,10
2021-01-09-1,12
2021-01-09-2,12
2021-01-09-3,18
2021-01-09-4,11
2021-01-09-5,6
2021-01-09-6,16
2021-01-09-7,19
2021-01-09-8,12
2021-01-09-9,17
2021-01-09-10,15
2021-01-09-11,14
2021-01-09-12,13
2021-01-09-13,17
2021-01-09-14,13
2021-01-09-15,13
2021-01-09-16,21
2021-01-09-17,13
2021-01-09-18,13
2021-01-09-19,13
2021-01-09-20,13
